2014-07-09T15:58:06.310+0200: 0.219: [GC [PSYoungGen: 22522K->5090K(27648K)] 22522K->5450K(60416K), 0.0130229 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2014-07-09T15:58:06.395+0200: 0.305: [GC [PSYoungGen: 27606K->2465K(27648K)] 27966K->2825K(60416K), 0.0084119 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:06.491+0200: 0.400: [GC [PSYoungGen: 24963K->5090K(27648K)] 25323K->7827K(60416K), 0.0364488 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2014-07-09T15:58:06.588+0200: 0.497: [GC [PSYoungGen: 27607K->5090K(27648K)] 30345K->8083K(60416K), 0.0058590 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:06.686+0200: 0.596: [GC [PSYoungGen: 27596K->3233K(27648K)] 30590K->6226K(60416K), 0.0042723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:06.739+0200: 0.649: [GC [PSYoungGen: 25756K->5090K(27648K)] 28749K->10773K(60416K), 0.0076863 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:06.838+0200: 0.747: [GC [PSYoungGen: 27598K->5090K(27648K)] 33280K->11361K(60416K), 0.0047463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:06.937+0200: 0.847: [GC [PSYoungGen: 27594K->3329K(27648K)] 33865K->9608K(60416K), 0.0024505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:06.993+0200: 0.903: [GC [PSYoungGen: 25841K->5090K(27648K)] 32120K->14162K(60416K), 0.0070135 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:07.093+0200: 1.002: [GC [PSYoungGen: 27591K->5090K(27648K)] 36664K->14843K(60416K), 0.0072097 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:07.233+0200: 1.143: [GC [PSYoungGen: 27591K->3649K(27648K)] 37344K->13410K(60416K), 0.0048556 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:07.289+0200: 1.199: [GC [PSYoungGen: 26164K->5090K(27648K)] 35925K->17836K(60416K), 0.0059954 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:07.388+0200: 1.297: [GC [PSYoungGen: 27591K->5090K(27648K)] 40337K->18709K(60416K), 0.0045605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:07.488+0200: 1.397: [GC [PSYoungGen: 27596K->2817K(27648K)] 41215K->16443K(60416K), 0.0031702 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:07.586+0200: 1.496: [GC [PSYoungGen: 25318K->704K(27648K)] 38944K->14338K(60416K), 0.0020542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:07.641+0200: 1.550: [GC [PSYoungGen: 23203K->5090K(27648K)] 36837K->20429K(60416K), 0.0064405 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
