2014-07-09T15:51:32.580+0200: 0.192: [GC [PSYoungGen: 11249K->2433K(13824K)] 11249K->2433K(30208K), 0.0104389 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.597+0200: 0.209: [GC [PSYoungGen: 13685K->2529K(13824K)] 13685K->5034K(30208K), 0.0116807 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.630+0200: 0.241: [GC [PSYoungGen: 13761K->2545K(13824K)] 16266K->10461K(30208K), 0.0071778 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.681+0200: 0.293: [GC [PSYoungGen: 13799K->2545K(13824K)] 21715K->10717K(30208K), 0.0027563 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:32.730+0200: 0.341: [GC [PSYoungGen: 13803K->2545K(13824K)] 21975K->14014K(30208K), 0.0110677 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2014-07-09T15:51:32.741+0200: 0.353: [Full GC [PSYoungGen: 2545K->0K(13824K)] [ParOldGen: 11469K->5925K(16384K)] 14014K->5925K(30208K) [PSPermGen: 2474K->2473K(21504K)], 0.0217031 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:32.781+0200: 0.392: [GC [PSYoungGen: 11258K->2529K(13824K)] 17184K->13641K(30208K), 0.0071004 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.788+0200: 0.400: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11112K->7944K(16384K)] 13641K->7944K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0152296 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.827+0200: 0.439: [GC [PSYoungGen: 11261K->2529K(13824K)] 19206K->10537K(30208K), 0.0013836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:32.881+0200: 0.492: [GC [PSYoungGen: 13782K->2529K(13824K)] 21791K->13643K(30208K), 0.0080335 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:32.889+0200: 0.501: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11113K->5834K(16384K)] 13643K->5834K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0165590 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:32.928+0200: 0.540: [GC [PSYoungGen: 11258K->448K(13824K)] 17093K->6282K(30208K), 0.0019603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:32.978+0200: 0.590: [GC [PSYoungGen: 11699K->2529K(13824K)] 17534K->9324K(30208K), 0.0033345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:32.989+0200: 0.601: [GC [PSYoungGen: 13789K->2529K(13824K)] 20584K->11797K(30208K), 0.0171676 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:33.032+0200: 0.644: [GC [PSYoungGen: 13780K->2529K(13824K)] 23048K->17344K(30208K), 0.0068889 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.039+0200: 0.651: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 14814K->8274K(16384K)] 17344K->8274K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0109852 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.081+0200: 0.693: [GC [PSYoungGen: 11251K->2529K(13824K)] 19525K->11187K(30208K), 0.0025532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.129+0200: 0.740: [GC [PSYoungGen: 13778K->2529K(13824K)] 22437K->14621K(30208K), 0.0046539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.133+0200: 0.745: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 12091K->6162K(16384K)] 14621K->6162K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0094410 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.180+0200: 0.791: [GC [PSYoungGen: 11251K->800K(13824K)] 17413K->6962K(30208K), 0.0009723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.229+0200: 0.841: [GC [PSYoungGen: 12049K->2529K(13824K)] 18211K->10011K(30208K), 0.0042903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.279+0200: 0.891: [GC [PSYoungGen: 13789K->2529K(13824K)] 21272K->12837K(30208K), 0.0040864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.283+0200: 0.895: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10308K->5556K(16384K)] 12837K->5556K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0137122 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.327+0200: 0.939: [GC [PSYoungGen: 11251K->160K(13824K)] 16807K->5716K(30208K), 0.0071576 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.379+0200: 0.991: [GC [PSYoungGen: 11409K->2529K(13824K)] 16965K->8797K(30208K), 0.0032021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.393+0200: 1.004: [GC [PSYoungGen: 13778K->2529K(13824K)] 20047K->12519K(30208K), 0.0539743 secs] [Times: user=0.01 sys=0.00, real=0.05 secs] 
2014-07-09T15:51:33.526+0200: 1.138: [GC [PSYoungGen: 13778K->1120K(13824K)] 23768K->11118K(30208K), 0.0146075 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.546+0200: 1.158: [GC [PSYoungGen: 12370K->2529K(13824K)] 22368K->14168K(30208K), 0.0037440 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.550+0200: 1.162: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11639K->4373K(16384K)] 14168K->4373K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0172373 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:33.576+0200: 1.188: [GC [PSYoungGen: 11232K->2529K(13824K)] 15606K->9848K(30208K), 0.0093607 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.590+0200: 1.202: [GC [PSYoungGen: 13780K->352K(13824K)] 21099K->7679K(30208K), 0.0006764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.628+0200: 1.239: [GC [PSYoungGen: 11601K->2529K(13824K)] 18928K->10728K(30208K), 0.0018658 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.680+0200: 1.292: [GC [PSYoungGen: 13778K->2529K(13824K)] 21978K->14642K(30208K), 0.0085266 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.689+0200: 1.301: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 12113K->6649K(16384K)] 14642K->6649K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0213310 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:33.727+0200: 1.339: [GC [PSYoungGen: 11249K->1280K(13824K)] 17898K->7930K(30208K), 0.0011050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.779+0200: 1.391: [GC [PSYoungGen: 12535K->2529K(13824K)] 19185K->9955K(30208K), 0.0032252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.793+0200: 1.405: [GC [PSYoungGen: 13778K->2529K(13824K)] 21204K->13772K(30208K), 0.0057190 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.799+0200: 1.411: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11243K->6553K(16384K)] 13772K->6553K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0142749 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.877+0200: 1.489: [GC [PSYoungGen: 11249K->1184K(13824K)] 17803K->7738K(30208K), 0.0007545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.882+0200: 1.494: [GC [PSYoungGen: 12434K->2529K(13824K)] 18988K->10788K(30208K), 0.0033807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:33.931+0200: 1.543: [GC [PSYoungGen: 13778K->2529K(13824K)] 22037K->15534K(30208K), 0.0095902 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:33.941+0200: 1.553: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 13005K->7482K(16384K)] 15534K->7482K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0169278 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:33.981+0200: 1.592: [GC [PSYoungGen: 11260K->576K(13824K)] 18743K->8058K(30208K), 0.0010540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.028+0200: 1.640: [GC [PSYoungGen: 11831K->2529K(13824K)] 19313K->10595K(30208K), 0.0017990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.080+0200: 1.692: [GC [PSYoungGen: 13778K->2529K(13824K)] 21845K->14221K(30208K), 0.0175944 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:34.098+0200: 1.710: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11692K->6363K(16384K)] 14221K->6363K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0108921 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.127+0200: 1.739: [GC [PSYoungGen: 11251K->992K(13824K)] 17615K->7355K(30208K), 0.0008828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.179+0200: 1.791: [GC [PSYoungGen: 12241K->2529K(13824K)] 18605K->10405K(30208K), 0.0044021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
