2014-07-09T15:43:11.380+0200: 0.200: [GC [PSYoungGen: 12274K->2016K(14336K)] 12274K->3593K(30720K), 0.0075646 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.399+0200: 0.219: [GC [PSYoungGen: 14290K->2016K(14336K)] 15866K->8716K(30720K), 0.0115282 secs] [Times: user=0.00 sys=0.03, real=0.01 secs] 
2014-07-09T15:43:11.480+0200: 0.300: [GC [PSYoungGen: 14298K->2016K(14336K)] 20998K->9700K(30720K), 0.0047214 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
2014-07-09T15:43:11.495+0200: 0.315: [GC [PSYoungGen: 14302K->2016K(14336K)] 21985K->14731K(30720K), 0.0084342 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.504+0200: 0.323: [Full GC [PSYoungGen: 2016K->0K(14336K)] [ParOldGen: 12714K->7045K(16384K)] 14731K->7045K(30720K) [PSPermGen: 2474K->2473K(21504K)], 0.0258236 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
2014-07-09T15:43:11.578+0200: 0.398: [GC [PSYoungGen: 12284K->1696K(14336K)] 19329K->8742K(30720K), 0.0008520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.585+0200: 0.405: [GC [PSYoungGen: 13983K->2016K(8192K)] 21028K->12776K(24576K), 0.0079503 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.594+0200: 0.413: [Full GC [PSYoungGen: 2016K->0K(8192K)] [ParOldGen: 10759K->5960K(16384K)] 12776K->5960K(24576K) [PSPermGen: 2474K->2474K(21504K)], 0.0095950 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.629+0200: 0.449: [GC [PSYoungGen: 6123K->3681K(11264K)] 12083K->9642K(27648K), 0.0026778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.678+0200: 0.498: [GC [PSYoungGen: 9807K->1568K(11264K)] 15767K->7529K(27648K), 0.0025209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.684+0200: 0.504: [GC [PSYoungGen: 7690K->5090K(11264K)] 13651K->13676K(27648K), 0.0071763 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.695+0200: 0.515: [GC [PSYoungGen: 11212K->5090K(11264K)] 19798K->14228K(27648K), 0.0041271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.729+0200: 0.549: [GC [PSYoungGen: 11213K->3553K(11264K)] 20351K->12699K(27648K), 0.0022852 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.779+0200: 0.598: [GC [PSYoungGen: 9676K->1472K(11264K)] 18822K->10626K(27648K), 0.0018617 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2014-07-09T15:43:11.786+0200: 0.606: [GC [PSYoungGen: 7593K->5090K(11264K)] 16747K->16693K(27648K), 0.0339998 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2014-07-09T15:43:11.820+0200: 0.640: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 11603K->7790K(16384K)] 16693K->7790K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0318084 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
2014-07-09T15:43:11.855+0200: 0.675: [GC [PSYoungGen: 6132K->3937K(11264K)] 13922K->11728K(27648K), 0.0240275 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:11.883+0200: 0.703: [GC [PSYoungGen: 10060K->1856K(11264K)] 17851K->9655K(27648K), 0.0019358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.889+0200: 0.709: [GC [PSYoungGen: 7977K->5090K(11264K)] 15776K->15754K(27648K), 0.0058631 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.898+0200: 0.718: [GC [PSYoungGen: 11213K->5090K(11264K)] 21877K->16586K(27648K), 0.0040765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.902+0200: 0.722: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 11496K->6129K(16384K)] 16586K->6129K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0098241 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.915+0200: 0.735: [GC [PSYoungGen: 6122K->3841K(11264K)] 12252K->9970K(27648K), 0.0029873 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.928+0200: 0.748: [GC [PSYoungGen: 9964K->1728K(11264K)] 16093K->7865K(27648K), 0.0047181 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.936+0200: 0.756: [GC [PSYoungGen: 7849K->5090K(11264K)] 13986K->13964K(27648K), 0.0058235 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:11.979+0200: 0.799: [GC [PSYoungGen: 11213K->5090K(11264K)] 20087K->14669K(27648K), 0.0052021 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:11.987+0200: 0.807: [GC [PSYoungGen: 11213K->3713K(11264K)] 20792K->13300K(27648K), 0.0174730 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.028+0200: 0.848: [GC [PSYoungGen: 9836K->1632K(11264K)] 19423K->11227K(27648K), 0.0008498 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.031+0200: 0.851: [GC [PSYoungGen: 7753K->5090K(11264K)] 17348K->17294K(27648K), 0.0054825 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
