Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8376184k(4965800k free), swap 16750504k(12232096k free)
CommandLine flags: -XX:InitialHeapSize=134018944 -XX:LogFile=jvm.log -XX:MaxHeapSize=536870912 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UnlockDiagnosticVMOptions -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2014-07-10T12:34:14.744+0200: 0.242: [GC (Allocation Failure) 0.242: [ParNew: 1018K->128K(1152K), 0.0058312 secs] 1018K->779K(130944K), 0.0063580 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-10T12:34:14.752+0200: 0.249: [GC (Allocation Failure) 0.249: [ParNew: 1130K->96K(1152K), 0.0054455 secs] 1782K->1771K(130944K), 0.0056061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.758+0200: 0.256: [GC (Allocation Failure) 0.256: [ParNew: 1095K->96K(1152K), 0.0031017 secs] 2770K->2764K(130944K), 0.0032516 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.762+0200: 0.259: [GC (Allocation Failure) 0.260: [ParNew: 1093K->96K(1152K), 0.0017371 secs] 3761K->3756K(130944K), 0.0018192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.764+0200: 0.262: [GC (Allocation Failure) 0.262: [ParNew: 1091K->96K(1152K), 0.0015274 secs] 4752K->4749K(130944K), 0.0015985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.766+0200: 0.264: [GC (Allocation Failure) 0.264: [ParNew: 1090K->96K(1152K), 0.0015490 secs] 5743K->5741K(130944K), 0.0016187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.768+0200: 0.266: [GC (Allocation Failure) 0.266: [ParNew: 1090K->96K(1152K), 0.0015662 secs] 6736K->6734K(130944K), 0.0016403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.770+0200: 0.268: [GC (Allocation Failure) 0.268: [ParNew: 1090K->96K(1152K), 0.0020087 secs] 7728K->7726K(130944K), 0.0020967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.773+0200: 0.270: [GC (Allocation Failure) 0.270: [ParNew: 1090K->96K(1152K), 0.0019197 secs] 8721K->8719K(130944K), 0.0020047 secs] [Times: user=0.02 sys=0.02, real=0.00 secs] 
2014-07-10T12:34:14.775+0200: 0.273: [GC (Allocation Failure) 0.273: [ParNew: 1090K->96K(1152K), 0.0015274 secs] 9713K->9711K(130944K), 0.0015956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.777+0200: 0.275: [GC (Allocation Failure) 0.275: [ParNew: 1090K->96K(1152K), 0.0015197 secs] 10706K->10704K(130944K), 0.0015886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
